約定日,受渡日,ティッカーコード,銘柄名,取引,口座,数量[株],売却/決済単価[USドル],売却/決済額[USドル],平均取得価額[USドル],実現損益[USドル]
"2023/02/10","2023/02/14","CCJ","カメコ","売付","特定","900","29.2420","26,317.80","29.3366","-85.17"
"2023/02/10","2023/02/14","CCJ","カメコ","売付","特定","100","29.2400","2,924.00","29.3366","-9.66"
"2023/02/10","2023/02/14","NEE","ネクステラ・エナジー","売付","特定","166","73.9700","12,279.02","76.2633","-380.69"
"2023/02/10","2023/02/14","NEE","ネクステラ・エナジー","売付","特定","100","73.9700","7,397.00","76.2633","-229.33"
"2023/02/10","2023/02/14","NEE","ネクステラ・エナジー","売付","特定","27","73.9700","1,997.19","76.2633","-61.92"
"2023/02/10","2023/02/14","NEE","ネクステラ・エナジー","売付","特定","6","73.9700","443.82","76.2633","-13.76"
"2023/02/10","2023/02/14","NEE","ネクステラ・エナジー","売付","特定","1","73.9700","73.97","76.2633","-2.29"
"2023/02/10","2023/02/14","GOOG","アルファベット クラスC","売付","特定","190","94.9003","18,031.06","94.8800","3.86"
"2023/02/10","2023/02/14","GOOG","アルファベット クラスC","売付","特定","10","94.9000","949.00","94.8800","0.20"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","300","26.3720","7,911.60","26.3920","-6.00"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","200","26.3700","5,274.00","26.3920","-4.40"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","100","26.3701","2,637.01","26.3920","-2.19"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","100","26.3700","2,637.00","26.3920","-2.20"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","100","26.3700","2,637.00","26.3920","-2.20"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","100","26.3700","2,637.00","26.3920","-2.20"
"2023/02/10","2023/02/14","LAC","リチウム・アメリカズ","売付","特定","100","26.3700","2,637.00","26.3920","-2.20"
"2023/02/09","2023/02/13","ENPH","エンフェーズ・エナジー","売付","特定","100","219.7500","21,975.00","222.6400","-289.00"
"2023/02/09","2023/02/13","CELH","セルシウス・ホールディングス","売付","特定","100","99.3100","9,931.00","99.6200","-31.00"
"2023/02/09","2023/02/13","CELH","セルシウス・ホールディングス","売付","特定","100","99.3100","9,931.00","99.6200","-31.00"
"2023/02/09","2023/02/13","MSFT","マイクロソフト","売付","特定","100","271.5000","27,150.00","271.0600","44.00"
